e11,e22,e12,s11,s22,s12,timestep,simulation_id
0.0311755,-0.0104918,0.00935494,333.886,63.6374,-38.2457,78.0,8266
0.0308934,-0.0105285,0.00942439,318.71,60.7448,-36.5073,79.0,8266
0.0306114,-0.0105652,0.00949383,303.533,57.8522,-34.7689,80.0,8266
0.0303293,-0.0106019,0.00956328,288.356,54.9596,-33.0304,81.0,8266
0.0300473,-0.0106386,0.00963273,273.18,52.067,-31.292,82.0,8266
0.0297652,-0.0106753,0.00970218,258.003,49.1744,-29.5535,83.0,8266
0.0294832,-0.010712,0.00977162,242.826,46.2818,-27.8151,84.0,8266
0.0292011,-0.0107487,0.00984107,227.65,43.3892,-26.0766,85.0,8266
0.0289191,-0.0107854,0.00991052,212.473,40.4965,-24.3382,86.0,8266
0.028637,-0.0108221,0.00997996,197.296,37.6039,-22.5998,87.0,8266
0.0283399,-0.0108519,0.0100428,182.12,34.7113,-20.8613,88.0,8266
0.0278799,-0.0108081,0.0100347,166.943,31.8187,-19.1229,89.0,8266
0.0268121,-0.0104893,0.00976175,151.766,28.9261,-17.3844,90.0,8266
0.0244573,-0.00958802,0.00892782,136.59,26.0335,-15.646,91.0,8266
0.020387,-0.00791052,0.00734623,121.413,23.1409,-13.9075,92.0,8266
0.0149917,-0.00563349,0.00518719,106.237,20.2483,-12.1691,93.0,8266
0.00946221,-0.00329572,0.00296966,91.0599,17.3557,-10.4307,94.0,8266
0.00507581,-0.00147521,0.00125032,75.8832,14.4631,-8.69221,95.0,8266
0.00240589,-0.000431391,0.000279063,60.7066,11.5704,-6.95377,96.0,8266
0.00114886,-2.69059e-05,-7.64119e-05,45.5299,8.67783,-5.21533,97.0,8266
0.000619768,4.81904e-05,-0.000114633,30.3533,5.78522,-3.47689,98.0,8266
0.000298679,2.91656e-05,-6.22e-05,15.1766,2.89261,-1.73844,99.0,8266
8.42416e-06,-3.81191e-06,3.67148e-06,6.48507e-07,-2.93443e-07,1.41318e-07,100.0,8266
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.000189714,-2.74013e-05,-6.74154e-05,18.9528,8.08288,-1.68758,1.0,9245
0.000379429,-5.48027e-05,-0.000134831,37.9057,16.1658,-3.37517,2.0,9245
0.000569143,-8.2204e-05,-0.000202246,56.8585,24.2486,-5.06275,3.0,9245
0.000758858,-0.000109605,-0.000269662,75.8113,32.3315,-6.75034,4.0,9245
0.000948572,-0.000137007,-0.000337077,94.7642,40.4144,-8.43792,5.0,9245
0.00113829,-0.000164408,-0.000404493,113.717,48.4973,-10.1255,6.0,9245
0.001328,-0.000191809,-0.000471908,132.67,56.5801,-11.8131,7.0,9245
0.00151772,-0.000219211,-0.000539323,151.623,64.663,-13.5007,8.0,9245
0.00170743,-0.000246612,-0.000606739,170.575,72.7459,-15.1883,9.0,9245
0.00189714,-0.000274013,-0.000674154,189.528,80.8288,-16.8758,10.0,9245
0.00208686,-0.000301415,-0.00074157,208.481,88.9116,-18.5634,11.0,9245
0.00227657,-0.000328816,-0.000808985,227.434,96.9945,-20.251,12.0,9245
0.00246629,-0.000356217,-0.0008764,246.387,105.077,-21.9386,13.0,9245
0.002656,-0.000383619,-0.000943816,265.34,113.16,-23.6262,14.0,9245
0.00284572,-0.00041102,-0.00101123,284.292,121.243,-25.3138,15.0,9245
0.00303543,-0.000438421,-0.00107865,303.245,129.326,-27.0013,16.0,9245
0.00322515,-0.000465823,-0.00114606,322.198,137.409,-28.6889,17.0,9245
0.00341486,-0.000493224,-0.00121348,341.151,145.492,-30.3765,18.0,9245
0.00360458,-0.000520625,-0.00128089,360.104,153.575,-32.0641,19.0,9245
0.00379429,-0.000548027,-0.00134831,379.057,161.658,-33.7517,20.0,9245
0.003984,-0.000575428,-0.00141572,398.009,169.74,-35.4393,21.0,9245
0.00417372,-0.000602829,-0.00148314,416.962,177.823,-37.1269,22.0,9245
0.00436343,-0.000630231,-0.00155055,435.915,185.906,-38.8144,23.0,9245
0.00455315,-0.000657632,-0.00161797,454.868,193.989,-40.502,24.0,9245
0.00474286,-0.000685033,-0.00168539,473.821,202.072,-42.1896,25.0,9245
0.00493258,-0.000712435,-0.0017528,492.774,210.155,-43.8772,26.0,9245
0.00512229,-0.000739837,-0.00182022,511.726,218.238,-45.5648,27.0,9245
0.0053121,-0.000767286,-0.00188768,530.679,226.321,-47.2524,28.0,9245
0.00550258,-0.000795094,-0.00195546,549.632,234.403,-48.9399,29.0,9245
0.00569544,-0.000824162,-0.00202437,568.585,242.486,-50.6275,30.0,9245
